日期,類型,餐次/項目,食物/內容,估計卡路里(kcal),合理下限,合理上限,體重(kg),重量訓練,Cardio,備註
2026-08-19,Food,Lunch,烤牛肉（約205g熟肉／中等油花）＋沙律／蔬菜＋少量醬汁＋蒜蓉包＋羅宋湯,900,815,995,,, ,羅宋湯約275mL，按約120 kcal 計
2026-08-19,Food,Dinner,烤鯖魚半條＋菜,280,220,340,,, ,未有份量相片
2026-08-19,Daily total,已報餐次合計,沒有早餐／零食／含糖飲品的前提下,1180,1035,1335,,, ,只計已報食物
2026-08-20,Food,Meal,蝦6隻＋西蘭花／椰菜花／紅蘿蔔／洋蔥／菇／菜等清湯或清煮蔬菜,180,130,220,,, ,相中未見大量油或醬汁；如有食用1湯匙油另加約120 kcal
2026-08-20,Food,Dinner,YOZM無糖西梅希臘乳酪130g（280 kcal／蛋白13g）＋黑椒雞柳70g（生重）＋一大碗無油雜菜,500,455,550,,, ,已確認全程無落油；雞柳約70g生重
2026-08-20,Daily total,已報餐次合計,已確認今天不再進食,680,635,730,,, ,只計已報食物
2026-08-21,Food,Lunch,沙律菜無醬60g＋粉絲被64kcal＋7-11 Fitasy泰式封門柳150kcal,229,219,249,,, ,標示卡路里為主；沙律菜約15kcal
2026-08-21,Food,Dinner,白灼中型基維蝦約12隻＋連殼枝豆約200g＋菜心,280,230,340,,, ,枝豆連殼約200g；假設白灼／少油
2026-08-21,Food,Snack,蝴蝶酥1塊（已確認；中等手掌size）,180,150,220,,, ,相片校準約30–40g；lunch時段食用
2026-08-21,Daily total,已報餐次合計,含蝴蝶酥,689,599,809,,, ,暫按沒有早餐其他零食及含糖飲品
2026-08-19,Training,Gym（Body composition 21:13）,以 weight training 為主,,,,64.6,有,無,BIA：體脂38%；骨骼肌21.6kg；體脂肪24.5kg；內臟脂肪12；BMR 1234 kcal
2026-08-20,Body measurement,Morning weight,晨早量度,,,,63.95,,,較8/19晚間gym後BIA低0.65kg；主要當作量度條件差異／水分及食物重量
2026-08-21,Body measurement,Weight,用戶報體重,,,,64.15,,,較昨晨63.95kg高0.20kg；屬正常日內／日間波動
